列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
Dorn Areas Operators/Identifiers,1513244,101.12%,1.12%,0.09663639057,30.60944542%,97.66759405%,100.0%,102.7055042%,338.0208961%,542869632590,0.0000,0.02962223907,,Dorn Areas Operators/Identifiers,357739,100.6%,0.6%,0.0669024715,55.17488006%,97.776774%,100.4%,102.4544996%,199.5789474%,28120497309,0.0000,0.09735374688
Dorn Areas Operators/Comments,1432043,135.70%,35.70%,8.422149691,1.255411255%,93.60918601%,100.0%,111.6071145%,54258.118%,435283787280,0.0000,0.09098844713,,Dorn Areas Operators/Comments,340144,109.8%,9.8%,1.430163704,1.566313011%,91.614117%,99.3%,103.2374101%,4159.174559%,22229313084,0.0000,-0.179480686
Dorn Areas Operators,1513244,101.07%,1.07%,0.253106809,11.40350877%,97.31286677%,100.1%,103.083825%,751.939892%,562676394690,0.0000,0.01180108025,,Dorn Areas Operators,357739,99.8%,-0.2%,0.1362651892,19.1487881%,97.858556%,99.9%,101.4148305%,267.4787729%,29195675182,0.0000,-0.08283027792
Dorn Areas Numbers/Keywords,1225646,128.07%,28.07%,2.999866402,0%,89.78935602%,99.2%,104.0398417%,9309.153451%,260858691534,0.0000,-0.1201441268,,Dorn Areas Numbers/Keywords,319959,122.8%,22.8%,3.011367933,0%,97.235784%,102.3%,121.7954816%,9309.153451%,14947155315,0.0000,0.3677809616
Dorn Areas Numbers/Identifiers,1225646,156.61%,56.61%,10.90645763,0%,92.42587361%,99.5%,103.630363%,38313.15562%,321997389348,0.0000,-0.1146835425,,Dorn Areas Numbers/Identifiers,319959,147.0%,47.0%,11.9617586,0%,96.117470%,100.5%,104.3019847%,38313.15562%,24411626919,0.0004,-0.007269848808
Dorn Areas Numbers/Comments,1184599,150.46%,50.46%,8.564027962,0%,90.07469366%,100.0%,104.5025805%,41842.97619%,212598966379,0.0000,-0.1093681481,,Dorn Areas Numbers/Comments,306306,109.7%,9.7%,1.217530211,0%,92.117452%,99.9%,100.0041043%,7225.99278%,12173616817,0.0000,-0.2477093618
Dorn Areas Numbers,1225646,145.75%,45.75%,9.408074118,0%,90.60876408%,99.5%,104.5962673%,33065.79511%,324191730032,0.0000,-0.1309998059,,Dorn Areas Numbers,319959,138.1%,38.1%,10.3257541,0%,93.467666%,98.1%,102.1491425%,33065.79511%,20847627383,0.0000,-0.1807338846
Dorn Areas Literals/Strings,405299,156.82%,56.82%,5.76509329,0%,69.06498674%,100.0%,100%,11210.52632%,8488060307,0.0000,-0.3574852914,,Dorn Areas Literals/Strings,140518,81.6%,-18.4%,0.4294219353,0%,46.738369%,98.2%,100%,1091.847826%,1149145133,0.0000,-0.6707490864
Dorn Areas Literals/Numbers,316857,117.59%,17.59%,1.739166199,0%,94.73684211%,100.0%,100%,2625%,5017511672,0.0000,-0.2322740249,,Dorn Areas Literals/Numbers,83963,77.0%,-23.0%,0.3049645244,0%,52.473833%,73.0%,100%,350%,99938827,0.0000,-0.8459054788
Dorn Areas Literals/Keywords,430954,106.95%,6.95%,1.098394297,0%,76.14678899%,98.9%,100%,1596%,22747110279,0.0000,-0.3370885563,,Dorn Areas Literals/Keywords,141938,82.7%,-17.3%,0.372293033,0%,63.227861%,95.5%,99.80879541%,566.1243514%,531655530,0.0000,-0.8723948745
Dorn Areas Literals/Identifiers,430954,97.72%,-2.28%,0.7989659282,0%,68.08067873%,98.6%,100.6458476%,1206.289655%,29070361719,0.0000,-0.3421229683,,Dorn Areas Literals/Identifiers,141938,77.7%,-22.3%,0.3248049769,0%,45.186693%,94.0%,98.70932192%,330.1029543%,765190650,0.0000,-0.8347327534
Dorn Areas Literals/Comments,412389,96.58%,-3.42%,1.335060671,0%,73.55326611%,100.0%,100%,3558.873431%,8415819412,0.0000,-0.451995898,,Dorn Areas Literals/Comments,141241,72.3%,-27.7%,0.3805171695,0%,23.637855%,96.6%,100%,283.3333333%,137337619,0.0000,-0.9419577357
Dorn Areas Literals,430954,96.56%,-3.44%,0.8292077868,0%,69.35788648%,98.9%,100.6283919%,1561.006158%,29893692303,0.0000,-0.3393117262,,Dorn Areas Literals,141938,75.4%,-24.6%,0.360637826,0%,34.346052%,95.0%,99.54430053%,311.760151%,795018686,0.0000,-0.8398571814
